input_param,cas_number,ParamDesc,input_unit,parameter_id,conversion,unit_solid,result_type,matrix_state,sample_fraction,sample_fraction_AC,result_value_type,result_speciation_id,result_speciation_AC,NEW_param_needed,NEW_speciation_needed,NEW_fraction_needed,NEW_protocol_needed,FLAG_AC_params_edit,FLAG_review,FLAG_notes_combined,ignore,result_offset,mapping_status
Se-T,"","Selenium, total",mg/L,1123,1,"",2,1,19,19,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
Se-T_S,"","Selenium, Total in Sediment",mg/kg,1123,1,mg/kg,2,2,19,19,1,,,"","",,"",,TRUE,UNIT_REVIEW: EQWin unit 'mg/kg' vs AquaCache unit '',FALSE,0,mapped_existing_parameter
Se-T-GF,"","Selenium, total by Graphite Furnace method",mg/L,1123,1,"",2,1,19,19,1,,,"","",,Graphite furnace,,FALSE,"",FALSE,0,mapped_existing_parameter
Se-Unk,"","speciated selenium comprising of unanalysed Selenium peaks observed in the chromatogram. This included SeMet, MeSe, and DMSeO",µg/L,1438,0.001,"",3,1,5,5,1,,,Se-Unk,"",,"",,FALSE,TRUE_NEW_PARAMETER_OR_AC_PARAMETER_UNIT_CHANGE_REQUIRED,FALSE,0,requires_new_parameter
Se-VI,"","speciation - Selenium, hexavalent",µg/L,1439,0.001,"",3,1,5,5,1,,,Se-VI,"",,"",,FALSE,TRUE_NEW_PARAMETER_OR_AC_PARAMETER_UNIT_CHANGE_REQUIRED,FALSE,0,requires_new_parameter
Si-D,"","Silicon, dissolved",mg/L,1127,1,"",2,1,5,5,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
Si-E,"","Silicon, extractable",mg/L,1127,1,"",2,1,6,6,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
SievePan,"",Particle passing last sieve.,%,1440,1,"",2,2,,,1,,,percent of particles passing last sieve.,"",,"",,FALSE,TRUE_NEW_PARAMETER_OR_AC_PARAMETER_UNIT_CHANGE_REQUIRED,FALSE,0,requires_new_parameter
simaz-P,"",simazine,µg/L,977,0.001,"",2,1,,,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
Si-T,"","Silicon, total",mg/L,1127,1,"",2,1,19,19,1,,,"","",,"",,FALSE,"",FALSE,0,mapped_existing_parameter
