param_name,MethodSpeciation,SampleFraction,DataStream_group,CASNumber,group,subgroup,unit_default,unit_solid
"Benzo(g,h,i)perylene-D12",No,No,"Organics, Other",93951-66-7,organics,others,mg/l,mg/kg
Benzo(j+k)fluoranthene,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Benzo(k)fluoranthene-d12,No,No,"Organics, Other",93952-01-3,organics,others,mg/l,mg/kg
Benzo[a]pyrene,No,No,"Organics, Other",50-32-8,organics,others,mg/l,mg/kg
Benzo[a]pyrene-d12,No,No,"Organics, Other",63466-71-7,organics,others,mg/l,mg/kg
"Benzo[b,j,k]fluoranthene",No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
"Benzo[b,j]fluoranthene",No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
"Benzo[b,k]fluoranthene",No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
"Benzo[b]fluoranthene, mixt with benzo[j]fluoranthene and benzo[k]fluoranthene",No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Benzo[c]phenanthrene,No,No,"Organics, Other",195-19-7,organics,others,mg/l,mg/kg
Benzo[e]pyrene,No,No,"Organics, Other",192-97-2,organics,others,mg/l,mg/kg
Benzo[ghi]perylene,No,No,"Organics, Other",191-24-2,organics,others,mg/l,mg/kg
Benzo[j]fluoranthene,No,No,"Organics, Other",205-82-3,organics,others,mg/l,mg/kg
Benzo[k]fluoranthene,No,No,"Organics, Other",207-08-9,organics,others,mg/l,mg/kg
Benzofluoranthene,No,No,"Organics, Other",56832-73-6,organics,others,mg/l,mg/kg
Benzoic acid,No,No,"Organics, Other",65-85-0,organics,others,mg/l,mg/kg
Bezafibrate,No,No,"Organics, Other",41859-67-0,organics,others,mg/l,mg/kg
Biphenyl,No,No,"Organics, Other",92-52-4,organics,others,mg/l,mg/kg
Biphenyl-d10,No,No,"Organics, Other",1486-01-7,organics,others,mg/l,mg/kg
Bis(2-chloroethoxy)methane,No,No,"Organics, Other",111-91-1,organics,others,mg/l,mg/kg
Bis(2-chloroethyl) ether,No,No,"Organics, Other",111-44-4,organics,others,mg/l,mg/kg
Bis(2-chloroisopropyl) ether,No,No,"Organics, Other",39638-32-9,organics,others,mg/l,mg/kg
Bis(2-ethoxyethyl) phthalate,No,No,"Organics, Other",605-54-9,organics,others,mg/l,mg/kg
Bisphenol F,No,No,"Organics, Other",620-92-8,organics,others,mg/l,mg/kg
Bisphenol S,No,No,"Organics, Other",1980-09-01,organics,others,mg/l,mg/kg
Brodifacoum,No,No,"Organics, Other",56073-10-0,organics,others,mg/l,mg/kg
Bromoacetic acid,No,No,"Organics, Other",1979-08-03,organics,others,mg/l,mg/kg
Bromobenzene,No,No,"Organics, Other",108-86-1,organics,others,mg/l,mg/kg
Bromochloroacetic acid,No,No,"Organics, Other",5589-96-8,organics,others,mg/l,mg/kg
Bromochloromethane,No,No,"Organics, Other",74-97-5,organics,others,mg/l,mg/kg
"BTEX, Total",No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Butyl benzyl phthalate,No,No,"Organics, Other",85-68-7,organics,others,mg/l,mg/kg
Butyltin,No,No,"Organics, Other",2406-65-7,organics,others,mg/l,mg/kg
Butyraldehyde,No,No,"Organics, Other",123-72-8,organics,others,mg/l,mg/kg
C10-C16 Hydrocarbons,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
C16-C34 Hydrocarbons,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
C1-Acenaphthenes,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
C1-Benzo[a]anthracenes/chrysenes,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
C1-Benzofluoranthenes/benzopyrenes,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
C1-Biphenyls,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
C1-Dibenzothiophenes,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
C1-Fluoranthenes/pyrenes,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
C1-Phenanthrenes/anthracenes,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
C23-C32 Hydrocarbons,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
C2-Benzo[a]anthracenes/chrysenes,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
C2-Benzofluoranthenes/benzopyrenes,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
C2-Biphenyls,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
C2-Chrysenes,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
C2-Dibenzothiophenes,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
C2-Fluoranthenes/pyrenes,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
C2-Fluorenes,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
C2-Naphthalenes,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
C2-Phenanthrenes/anthracenes,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
C34-C50 Hydrocarbons,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
C3-Benzo[a]anthracenes/chrysenes,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
C3-Chrysenes,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
C3-Dibenzothiophenes,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
C3-Fluoranthenes/pyrenes,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
C3-Fluorenes,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
C3-Naphthalenes,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
C3-Phenanthrenes/anthracenes,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
C4-Benzo[a]anthracenes/chrysenes,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
C4-Chrysenes,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
C4-Dibenzothiophenes,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
C4-Fluoranthenes/pyrenes,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
C4-Fluorenes,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
C4-Naphthalenes,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
C4-Phenanthrenes/anthracenes,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Caffeine,No,No,"Organics, Other",1958-08-02,organics,others,mg/l,mg/kg
Carbamazepine,No,No,"Organics, Other",298-46-4,organics,others,mg/l,mg/kg
Carbon tetrachloride,No,No,"Organics, Other",56-23-5,organics,others,mg/l,mg/kg
"Carbonodithioic acid, O-ethyl ester",No,No,"Organics, Other",151-01-9,organics,others,mg/l,mg/kg
Cashmeran,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Celestolide,No,No,"Organics, Other",13171-00-1,organics,others,mg/l,mg/kg
CFC-11,No,No,"Organics, Other",75-69-4,organics,others,mg/l,mg/kg
CFC-113,No,No,"Organics, Other",76-13-1,organics,others,mg/l,mg/kg
CFC-12,No,No,"Organics, Other",75-71-8,organics,others,mg/l,mg/kg
Chloramphenicol,No,No,"Organics, Other",56-75-7,organics,others,mg/l,mg/kg
Chloroacetic acid,No,No,"Organics, Other",1979-11-08,organics,others,mg/l,mg/kg
Chlorobenzene,No,No,"Organics, Other",108-90-7,organics,others,mg/l,mg/kg
Chlorodibromomethane,No,No,"Organics, Other",124-48-1,organics,others,mg/l,mg/kg
Chloroethane,No,No,"Organics, Other",75-00-3,organics,others,mg/l,mg/kg
Chloroform,No,No,"Organics, Other",67-66-3,organics,others,mg/l,mg/kg
Chloromethane,No,No,"Organics, Other",74-87-3,organics,others,mg/l,mg/kg
Chloronaphthalene,No,No,"Organics, Other",25586-43-0,organics,others,mg/l,mg/kg
Chrysene,No,No,"Organics, Other",218-01-9,organics,others,mg/l,mg/kg
Chrysene + Triphenylene,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Chrysene-d12,No,No,"Organics, Other",1719-03-5,organics,others,mg/l,mg/kg
Ciprofloxacin,No,No,"Organics, Other",85721-33-1,organics,others,mg/l,mg/kg
"cis-1,2-Dichloroethylene",No,No,"Organics, Other",156-59-2,organics,others,mg/l,mg/kg
Clarithromycin,No,No,"Organics, Other",81103-11-9,organics,others,mg/l,mg/kg
Clindamycin,No,No,"Organics, Other",18323-44-9,organics,others,mg/l,mg/kg
Clofibric acid,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Cocaine,No,No,"Organics, Other",50-36-2,organics,others,mg/l,mg/kg
Codeine,No,No,"Organics, Other",76-57-3,organics,others,mg/l,mg/kg
Copper 8-quinolinolate,No,No,"Organics, Other",10380-28-6,organics,others,mg/l,mg/kg
Cotinine,No,No,"Organics, Other",486-56-6,organics,others,mg/l,mg/kg
Cumene,No,No,"Organics, Other",98-82-8,organics,others,mg/l,mg/kg
Cyanate,No,No,"Organics, Other",661-20-1,organics,others,mg/l,mg/kg
Dehydroabietic acid,No,No,"Organics, Other",1740-19-8,organics,others,mg/l,mg/kg
Desmethylvenlafaxine,No,No,"Organics, Other",93413-62-8,organics,others,mg/l,mg/kg
Di(2-ethylhexyl) phthalate,No,No,"Organics, Other",117-81-7,organics,others,mg/l,mg/kg
"Dibenz[a,h]anthracene",No,No,"Organics, Other",53-70-3,organics,others,mg/l,mg/kg
"Dibenzo(a,h)anthracene-D14",No,No,"Organics, Other",13250-98-1,organics,others,mg/l,mg/kg
"Dibenzo[a,h]pyrene",No,No,"Organics, Other",189-64-0,organics,others,mg/l,mg/kg
"Dibenzo[a,i]pyrene",No,No,"Organics, Other",189-55-9,organics,others,mg/l,mg/kg
"Dibenzo[a,l]pyrene",No,No,"Organics, Other",191-30-0,organics,others,mg/l,mg/kg
Dibenzofuran,No,No,"Organics, Other",132-64-9,organics,others,mg/l,mg/kg
Dibenzothiophene,No,No,"Organics, Other",132-65-0,organics,others,mg/l,mg/kg
Dibenzothiophene-D8,No,No,"Organics, Other",33262-29-2,organics,others,mg/l,mg/kg
Dibromoacetic acid,No,No,"Organics, Other",631-64-1,organics,others,mg/l,mg/kg
Dibromomethane,No,No,"Organics, Other",74-95-3,organics,others,mg/l,mg/kg
Dibutyl phthalate,No,No,"Organics, Other",84-74-2,organics,others,mg/l,mg/kg
Dibutyltin,No,No,"Organics, Other",1002-53-5,organics,others,mg/l,mg/kg
Dichloroacetic acid,No,No,"Organics, Other",79-43-6,organics,others,mg/l,mg/kg
Dichlorobromomethane,No,No,"Organics, Other",75-27-4,organics,others,mg/l,mg/kg
Dichlorodehydroabietic acid,No,No,"Organics, Other",57055-39-7,organics,others,mg/l,mg/kg
Dichlorophenols,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Dichlorovanillins,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Dichloroveretrols,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Diclofenac,No,No,"Organics, Other",15307-86-5,organics,others,mg/l,mg/kg
"Diclofenac, 4-hydroxy",No,No,"Organics, Other",64118-84-9,organics,others,mg/l,mg/kg
Didecyl dimethyl ammonium chloride,No,No,"Organics, Other",7173-51-5,organics,others,mg/l,mg/kg
Diethyl phthalate,No,No,"Organics, Other",84-66-2,organics,others,mg/l,mg/kg
Diethylene glycol,No,No,"Organics, Other",111-46-6,organics,others,mg/l,mg/kg
Dihydroisopimaric acid,No,No,"Organics, Other",5673-36-9,organics,others,mg/l,mg/kg
Diisopropanolamine,No,No,"Organics, Other",110-97-4,organics,others,mg/l,mg/kg
Dimethyl diselenide,No,No,"Organics, Other",7101-31-7,organics,others,mg/l,mg/kg
Dimethyl phthalate,No,No,"Organics, Other",131-11-3,organics,others,mg/l,mg/kg
Dimethyl sulfone,No,No,"Organics, Other",67-71-0,organics,others,mg/l,mg/kg
Dinitramine,No,No,"Organics, Other",29091-05-2,organics,others,mg/l,mg/kg
Di-n-octyl phthalate,No,No,"Organics, Other",117-84-0,organics,others,mg/l,mg/kg
Docosanoic acid,No,No,"Organics, Other",112-85-6,organics,others,mg/l,mg/kg
Eicosanoic acid,No,No,"Organics, Other",506-30-9,organics,others,mg/l,mg/kg
Enrofloxacin,No,No,"Organics, Other",93106-60-6,organics,others,mg/l,mg/kg
EPTC-d14,No,No,"Organics, Other",1219794-88-3,organics,others,mg/l,mg/kg
Erythromycin,No,No,"Organics, Other",114-07-8,organics,others,mg/l,mg/kg
Estradiol,No,No,"Organics, Other",50-28-2,organics,others,mg/l,mg/kg
Estriol,No,No,"Organics, Other",50-27-1,organics,others,mg/l,mg/kg
Estrone,No,No,"Organics, Other",53-16-7,organics,others,mg/l,mg/kg
Ethanol,No,No,"Organics, Other",64-17-5,organics,others,mg/l,mg/kg
Ethinyl estradiol,No,No,"Organics, Other",57-63-6,organics,others,mg/l,mg/kg
Ethyl acetate,No,No,"Organics, Other",141-78-6,organics,others,mg/l,mg/kg
Ethylbenzene,No,No,"Organics, Other",100-41-4,organics,others,mg/l,mg/kg
Ethylene glycol,No,No,"Organics, Other",107-21-1,organics,others,mg/l,mg/kg
Extractable hydrocarbons,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Fluoranthene,No,No,"Organics, Other",206-44-0,organics,others,mg/l,mg/kg
Fluoranthene-d10,No,No,"Organics, Other",93951-69-0,organics,others,mg/l,mg/kg
Fluorene,No,No,"Organics, Other",86-73-7,organics,others,mg/l,mg/kg
Fluoxetine,No,No,"Organics, Other",54910-89-3,organics,others,mg/l,mg/kg
Formaldehyde,No,No,"Organics, Other",50-00-0,organics,others,mg/l,mg/kg
Gas Range Organics (C6-C10),No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Gemfibrozil,No,No,"Organics, Other",25812-30-0,organics,others,mg/l,mg/kg
Glyoxal,No,No,"Organics, Other",107-22-2,organics,others,mg/l,mg/kg
Haloacetic acids,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Heptanal,No,No,"Organics, Other",111-71-7,organics,others,mg/l,mg/kg
Hexachlorobutadiene,No,No,"Organics, Other",87-68-3,organics,others,mg/l,mg/kg
Hexachlorocyclopentadiene,No,No,"Organics, Other",77-47-4,organics,others,mg/l,mg/kg
Hexachloroethane,No,No,"Organics, Other",67-72-1,organics,others,mg/l,mg/kg
Hexaconazole,No,No,"Organics, Other",79983-71-4,organics,others,mg/l,mg/kg
Hexaldehyde,No,No,"Organics, Other",66-25-1,organics,others,mg/l,mg/kg
Hexane Extractable Material (HEM),No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Hydrocarbons,No,No,"Organics, Other",308067-53-0,organics,others,mg/l,mg/kg
"Hydrocarbons, C10-19, Light petroleum",No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
"Hydrocarbons, C19-32, Heavy petroleum",No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
"Hydrocarbons, petroleum",No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
"Hydrocarbons, volatile",No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Hydromorphone,No,No,"Organics, Other",466-99-9,organics,others,mg/l,mg/kg
Hydroquinone,No,No,"Organics, Other",123-31-9,organics,others,mg/l,mg/kg
"Hydroxy-ibuprofen, 2-",No,No,"Organics, Other",51146-55-5,organics,others,mg/l,mg/kg
Hydroxyphenols,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Indene,No,No,"Organics, Other",95-13-6,organics,others,mg/l,mg/kg
"Indeno[1,2,3-cd]pyrene",No,No,"Organics, Other",193-39-5,organics,others,mg/l,mg/kg
"Indeno[1,2,3-cd]pyrene-d12",No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Isobutanol,No,No,"Organics, Other",78-83-1,organics,others,mg/l,mg/kg
Isobutyraldehyde,No,No,"Organics, Other",78-84-2,organics,others,mg/l,mg/kg
Isophorone,No,No,"Organics, Other",78-59-1,organics,others,mg/l,mg/kg
Isopimaric acid,No,No,"Organics, Other",5835-26-7,organics,others,mg/l,mg/kg
Isopimaric Acid mixt. with Palustric Acids,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Isopropanol,No,No,"Organics, Other",67-63-0,organics,others,mg/l,mg/kg
Isovaleraldehyde,No,No,"Organics, Other",590-86-3,organics,others,mg/l,mg/kg
Jodfenphos,No,No,"Organics, Other",18181-70-9 ,organics,others,mg/l,mg/kg
Ketoprofen,No,No,"Organics, Other",22071-15-4,organics,others,mg/l,mg/kg
Lauric acid,No,No,"Organics, Other",143-07-7,organics,others,mg/l,mg/kg
Lignoceric Acid,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Lincomycin,No,No,"Organics, Other",154-21-2,organics,others,mg/l,mg/kg
Linoleic acid,No,No,"Organics, Other",60-33-3,organics,others,mg/l,mg/kg
m- & p-Chlorophenol,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
m and p-Cresol,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
"m,p-Xylene",No,No,"Organics, Other",179601-23-1,organics,others,mg/l,mg/kg
m-Chlorophenol,No,No,"Organics, Other",108-43-0,organics,others,mg/l,mg/kg
m-Cresol,No,No,"Organics, Other",108-39-4,organics,others,mg/l,mg/kg
Meclofenamic acid,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Methamphetamine,No,No,"Organics, Other",537-46-2,organics,others,mg/l,mg/kg
Methane,No,No,"Organics, Other",74-82-8,organics,others,mg/l,mg/kg
Methanol,No,No,"Organics, Other",67-56-1,organics,others,mg/l,mg/kg
Methotrexate,No,No,"Organics, Other",1959-05-02,organics,others,mg/l,mg/kg
Methyl isobutyl ketone,No,No,"Organics, Other",108-10-1,organics,others,mg/l,mg/kg
Methyl Selenium,No,No,"Organics, Other",593-79-3,organics,others,mg/l,mg/kg
Methyl tert-butyl ether,No,No,"Organics, Other",1634-04-4,organics,others,mg/l,mg/kg
Methylacenaphthene,No,No,"Organics, Other",36541-21-6,organics,others,mg/l,mg/kg
Methylarsonic acid,No,No,"Organics, Other",124-58-3,organics,others,mg/l,mg/kg
Methylchrysene,No,No,"Organics, Other",41637-90-5,organics,others,mg/l,mg/kg
Methyldibenzothiophene,No,No,"Organics, Other",30995-64-3,organics,others,mg/l,mg/kg
Methylene chloride,No,No,"Organics, Other",1975-09-02,organics,others,mg/l,mg/kg
Methylfluorene,No,No,"Organics, Other",26914-17-0,organics,others,mg/l,mg/kg
Methylglyoxal,No,No,"Organics, Other",78-98-8,organics,others,mg/l,mg/kg
Methylnaphthalene,No,No,"Organics, Other",1321-94-4,organics,others,mg/l,mg/kg
Methylseleninic Acid,No,No,"Organics, Other",28274-57-9,organics,others,mg/l,mg/kg
Monochlorodehydroabietic acid,No,No,"Organics, Other",57055-38-6,organics,others,mg/l,mg/kg
Monochloroguaicols,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Monochlorophenols,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Monochlorovanillins,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Musk ambrette,No,No,"Organics, Other",83-66-9,organics,others,mg/l,mg/kg
Musk ketone,No,No,"Organics, Other",81-14-1,organics,others,mg/l,mg/kg
Musk moskine,No,No,"Organics, Other",116-66-5,organics,others,mg/l,mg/kg
Musk Tibetene,No,No,"Organics, Other",145-39-1,organics,others,mg/l,mg/kg
m-Xylene,No,No,"Organics, Other",108-38-3,organics,others,mg/l,mg/kg
Myristic acid,No,No,"Organics, Other",544-63-8,organics,others,mg/l,mg/kg
Naphthalene,No,No,"Organics, Other",91-20-3,organics,others,mg/l,mg/kg
Naphthalene-d8,No,No,"Organics, Other",1146-65-2,organics,others,mg/l,mg/kg
Naphthenic Acids,No,No,"Organics, Other",1338-24-5,organics,others,mg/l,mg/kg
Naproxen,No,No,"Organics, Other",22204-53-1,organics,others,mg/l,mg/kg
n-Butylbenzene,No,No,"Organics, Other",104-51-8,organics,others,mg/l,mg/kg
Neotame,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Nicarbazin,No,No,"Organics, Other",330-95-0,organics,others,mg/l,mg/kg
Nitrilotriacetic acid,No,No,"Organics, Other",139-13-9,organics,others,mg/l,mg/kg
Nitrobenzene,No,No,"Organics, Other",98-95-3,organics,others,mg/l,mg/kg
Nitrophenol,No,No,"Organics, Other",25154-55-6,organics,others,mg/l,mg/kg
N-Nitrosodimethylamine,No,No,"Organics, Other",62-75-9,organics,others,mg/l,mg/kg
N-Nitrosodi-n-propylamine,No,No,"Organics, Other",621-64-7,organics,others,mg/l,mg/kg
N-Nitrosodiphenylamine,No,No,"Organics, Other",86-30-6,organics,others,mg/l,mg/kg
Nonadecanoic acid,No,No,"Organics, Other",646-30-0,organics,others,mg/l,mg/kg
Nonanal,No,No,"Organics, Other",124-19-6,organics,others,mg/l,mg/kg
Nonylphenol,No,No,"Organics, Other",25154-52-3,organics,others,mg/l,mg/kg
Nonylphenol diethoxylate,No,No,"Organics, Other",20427-84-3,organics,others,mg/l,mg/kg
Norfloxacin,No,No,"Organics, Other",70458-96-7,organics,others,mg/l,mg/kg
Norfluoxetine,No,No,"Organics, Other",83891-03-6,organics,others,mg/l,mg/kg
n-Propylbenzene,No,No,"Organics, Other",103-65-1,organics,others,mg/l,mg/kg
o-Chlorophenol,No,No,"Organics, Other",95-57-8,organics,others,mg/l,mg/kg
o-Chlorotoluene,No,No,"Organics, Other",95-49-8,organics,others,mg/l,mg/kg
o-Cresol,No,No,"Organics, Other",95-48-7,organics,others,mg/l,mg/kg
Octachlorostyrene,No,No,"Organics, Other",29082-74-4,organics,others,mg/l,mg/kg
Octanal,No,No,"Organics, Other",124-13-0,organics,others,mg/l,mg/kg
o-Dichlorobenzene,No,No,"Organics, Other",95-50-1,organics,others,mg/l,mg/kg
Ofloxacin,No,No,"Organics, Other",82419-36-1,organics,others,mg/l,mg/kg
Oil and Grease,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
"Oil and Grease, Nonpolar",No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Oleic acid,No,No,"Organics, Other",112-80-1,organics,others,mg/l,mg/kg
o-Nitrophenol,No,No,"Organics, Other",88-75-5,organics,others,mg/l,mg/kg
Organic carbon,No,Yes,"Organics, Other", ,organics,others,mg/l,mg/kg
Organic matter,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Oxolinic acid,No,No,"Organics, Other",14698-29-4,organics,others,mg/l,mg/kg
Oxycarboxin,No,No,"Organics, Other",5259-88-1,organics,others,mg/l,mg/kg
o-Xylene,No,No,"Organics, Other",95-47-6,organics,others,mg/l,mg/kg
"o-Xylene, mixt. with m-xylene and p-xylene",No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Palmitic acid,No,No,"Organics, Other",1957-10-03,organics,others,mg/l,mg/kg
Palustric acid,No,No,"Organics, Other",1945-53-5,organics,others,mg/l,mg/kg
p-Bromofluorobenzene,No,No,"Organics, Other",460-00-4,organics,others,mg/l,mg/kg
p-Chloro-m-cresol,No,No,"Organics, Other",59-50-7,organics,others,mg/l,mg/kg
p-Chlorophenol,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
p-Chlorophenyl phenyl ether,No,No,"Organics, Other",7005-72-3,organics,others,mg/l,mg/kg
p-Chlorotoluene,No,No,"Organics, Other",106-43-4,organics,others,mg/l,mg/kg
p-Cymene,No,No,"Organics, Other",99-87-6,organics,others,mg/l,mg/kg
p-Dichlorobenzene,No,No,"Organics, Other",106-46-7,organics,others,mg/l,mg/kg
Pentachloroanisole,No,No,"Organics, Other",1825-21-4,organics,others,mg/l,mg/kg
Pentoxifylline,No,No,"Organics, Other",6493-05-06,organics,others,mg/l,mg/kg
Perylene,No,No,"Organics, Other",198-55-0,organics,others,mg/l,mg/kg
Perylene-d12,No,No,"Organics, Other",1520-96-3,organics,others,mg/l,mg/kg
"Petroleum hydrocarbons, total volatile",No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Phantolide,No,No,"Organics, Other",15323-35-0,organics,others,mg/l,mg/kg
Phenanthrene,No,No,"Organics, Other",1985-01-08,organics,others,mg/l,mg/kg
Phenanthrene-d10,No,No,"Organics, Other",1517-22-2,organics,others,mg/l,mg/kg
Phenol,No,No,"Organics, Other",108-95-2,organics,others,mg/l,mg/kg
"Phenol, 2,3-dichloro-6-methoxy-",No,No,"Organics, Other",77102-95-5,organics,others,mg/l,mg/kg
"Phenol, dibromo-",No,No,"Organics, Other",28514-45-6,organics,others,mg/l,mg/kg
Phenolics,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Phenols,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Pimaric acid,No,No,"Organics, Other",127-27-5,organics,others,mg/l,mg/kg
Pipemidic acid,No,No,"Organics, Other",51940-44-4,organics,others,mg/l,mg/kg
p-Nitrophenol,No,No,"Organics, Other",100-02-7,organics,others,mg/l,mg/kg
Polybrominated biphenyls,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Polycyclic aromatic hydrocarbons,No,No,"Organics, Other",130498-29-2,organics,others,mg/l,mg/kg
Progesterone,No,No,"Organics, Other",57-83-0,organics,others,mg/l,mg/kg
Propionaldehyde,No,No,"Organics, Other",123-38-6,organics,others,mg/l,mg/kg
Propylene glycol,No,No,"Organics, Other",57-55-6,organics,others,mg/l,mg/kg
p-Terphenyl-d14,No,No,"Organics, Other",1718-51-0,organics,others,mg/l,mg/kg
Purgeable hydrocarbons,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
p-Xylene,No,No,"Organics, Other",106-42-3,organics,others,mg/l,mg/kg
Pyrene,No,No,"Organics, Other",129-00-0,organics,others,mg/l,mg/kg
Quinoline,No,No,"Organics, Other",91-22-5,organics,others,mg/l,mg/kg
"rac-10,11-Dihydro-10,11-dihydroxy carbamazepine",No,No,"Organics, Other",58955-93-4,organics,others,mg/l,mg/kg
Resorcinol,No,No,"Organics, Other",108-46-3,organics,others,mg/l,mg/kg
Retene,No,No,"Organics, Other",483-65-8,organics,others,mg/l,mg/kg
Saccharin,No,No,"Organics, Other",1981-07-02,organics,others,mg/l,mg/kg
Salicylic acid,No,No,"Organics, Other",69-72-7,organics,others,mg/l,mg/kg
Sandaracopimaric acid,No,No,"Organics, Other",471-74-9,organics,others,mg/l,mg/kg
sec-Butylbenzene,No,No,"Organics, Other",135-98-8,organics,others,mg/l,mg/kg
Selenocyanate,No,No,"Organics, Other",5749-48-4,organics,others,mg/l,mg/kg
Selenomethionine,No,No,"Organics, Other",1464-42-2,organics,others,mg/l,mg/kg
Selenosulfate,No,No,"Organics, Other",16450-48-9,organics,others,mg/l,mg/kg
Silica gel treated n-hexane extractable material,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Stearic acid,No,No,"Organics, Other",1957-11-04,organics,others,mg/l,mg/kg
Styrene,No,No,"Organics, Other",100-42-5,organics,others,mg/l,mg/kg
Sucralose,No,No,"Organics, Other",56038-13-2,organics,others,mg/l,mg/kg
Sulfabenzamide,No,No,"Organics, Other",127-71-9,organics,others,mg/l,mg/kg
Sulfadoxine,No,No,"Organics, Other",2447-57-6,organics,others,mg/l,mg/kg
Sulfamerazine,No,No,"Organics, Other",127-79-7,organics,others,mg/l,mg/kg
Sulfamethazine,No,No,"Organics, Other",57-68-1,organics,others,mg/l,mg/kg
Sulfamethoxazole,No,No,"Organics, Other",723-46-6,organics,others,mg/l,mg/kg
Sulfapyridine,No,No,"Organics, Other",144-83-2,organics,others,mg/l,mg/kg
Sulfathiazole,No,No,"Organics, Other",72-14-0,organics,others,mg/l,mg/kg
Sulfolane,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
"Sulfonates, alkyl-, linear",No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
Surfactants,No,No,"Organics, Other", ,organics,others,mg/l,mg/kg
